CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
09/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0140676444","3,3641051579","1,0140676444","1,6823722529","1,0140676444","2619642,87949073",-,-,"1,0140676444","0,0023925339","0,00%","1,0000%"
10/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0150531287","3,3174366389","1,0150531287","1,6590335587","1,0150531287","2583301,90684136",-,-,"1,0150531287","0,0023593435","0,00%","1,0000%"
11/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0162838034","3,2682394104","1,0162838034","1,6344302695","1,0162838034","2544991,81749885",-,-,"1,0162838034","0,0023243547","0,00%","1,0000%"
12/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0191702432","3,2158727704","1,0191702432","1,6082419734","1,0191702432","2504213,69395666",-,-,"1,0191702432","0,0022871118","0,00%","1,0000%"
01/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0182481752","3,155383305","1,0182481752","1,5779914927","1,0182481752","2457110,29207707",-,-,"1,0182481752","0,002244092","0,00%","1,0000%"
02/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,017645437","3,0988352171","1,017645437","1,5497120753","1,017645437","2413076,05745204",-,-,"1,017645437","0,0022038753","0,00%","1,0000%"
03/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0140883229","3,0451030432","1,0140883229","1,5228408824","1,0140883229","2371234,58693539",-,-,"1,0140883229","0,0021656613","0,00%","1,0000%"
04/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0154955918","3,0027986461","1,0154955918","1,5016846639","1,0154955918","2338291,97445326",-,-,"1,0154955918","0,0021355746","0,00%","1,0000%"
05/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0123651671","2,9569785142","1,0123651671","1,4787702439","1,0123651671","2302611,64440372",-,-,"1,0123651671","0,0021029876","0,00%","1,0000%"
06/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0135135135","2,9208615729","1,0135135135","1,4607083412","1,0135135135","2274487,2298281",-,-,"1,0135135135","0,0020773014","0,00%","1,0000%"
07/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0069230769","2,8819167519","1,0069230769","1,44123223","1,0069230769","2244160,73343039",-,-,"1,0069230769","0,0020496041","0,00%","1,0000%"
08/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0073847721","2,8621021982","1,0073847721","1,4313230703","1,0073847721","2228731,05688275",-,-,"1,0073847721","0,0020355121","0,00%","1,0000%"
09/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0091001011","2,8411211659","1,0091001011","1,4208305604","1,0091001011","2212393,03851834",-,-,"1,0091001011","0,0020205905","0,00%","1,0000%"
10/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0162825651","2,8154998328","1,0162825651","1,4080174592","1,0162825651","2192441,59829122",-,-,"1,0162825651","0,0020023687","0,00%","1,0000%"
11/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,020951442","2,7703907647","1,020951442","1,3854586386","1,020951442","2157314,97667699",-,-,"1,020951442","0,0019702874","0,00%","1,0000%"
12/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0224529213","2,7135382261","1,0224529213","1,3570269669","1,0224529213","2113043,66498757",-,-,"1,0224529213","0,0019298541","0,00%","1,0000%"
