CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
01/1992,"96.037,33",-,"923.262,76","923.262,76",TRUE,"1,19823400","1,30361600","1,0000000000","0,0010000000","1,2592000000","0,00938656605278","1,2592000000","0,0049783857","1,2592000000","4,2242861044","1,2594000000","1,2560000000","1,2560044217","0,0000067213","29,06%","1,0000%"
02/1992,"96.037,33",-,"923.262,76","923.262,76",FALSE,-,"0,82942800","1,0000000000","0,0010000000","1,2448000000","0,00745438854255","1,2448000000","0,0039536100","1,2448000000","3,3547380118","1,2432000000","1,2610000000","1,2610046539","0,0000053514","28,76%","1,0000%"
03/1992,"96.037,33",-,"923.262,76","923.262,76",FALSE,-,"0,46965600","1,0000000000","0,0010000000","1,2162000000","0,00598842267236","1,2162000000","0,0031761006","1,2162000000","2,6950016161","1,2140000000","1,2203000000","1,2202952498","0,0000042437","26,86%","1,0000%"
04/1992,"96.037,33",-,"923.262,76","923.262,76",FALSE,-,"0,20840000","1,0000000000","0,0010000000","1,2084000000","0,00492387984900","1,2084000000","0,0026114953","1,2084000000","2,2159197633","1,1993000000","1,1983000000","1,1982997678","0,0000034776","23,92%","1,0000%"
05/1992,"230.000,00",-,"2.126.842,49","2.126.842,49",TRUE,"1,30361600","1,24786900","1,0000000000","0,0010000000","1,2450000000","0,00407471023585","1,2450000000","0,0021611183","1,2450000000","1,8337634586","1,2486000000","1,2345000000","1,2344969229","0,0000029021","23,00%","1,0000%"
06/1992,"230.000,00",-,"2.126.842,49","2.126.842,49",FALSE,-,"0,80551700","1,0000000000","0,0010000000","1,2085000000","0,00327285962719","1,2085000000","0,0017358380","1,2085000000","1,4729023763","1,2021000000","1,2327000000","1,2326996866","0,0000023509","24,28%","1,0000%"
07/1992,"230.000,00",-,"2.126.842,49","2.126.842,49",FALSE,-,"0,49401500","1,0000000000","0,0010000000","1,2208000000","0,00270819993975","1,2208000000","0,0014363574","1,2208000000","1,2187855824","1,2183000000","1,2101000000","1,2101003669","0,0000019071","26,21%","1,0000%"
08/1992,"230.000,00",-,"2.126.842,49","2.126.842,49",FALSE,-,"0,22380000","1,0000000000","0,0010000000","1,2238000000","0,00221838133990","1,2238000000","0,0011765706","1,2238000000","0,9983499201","1,2214000000","1,2314000000","1,2313981755","0,0000015760","25,65%","1,0000%"
09/1992,"522.186,94",-,"4.780.863,30","4.780.863,30",TRUE,"1,24786900","1,41212800","1,0000000000","0,0010000000","1,2398000000","0,00181269924816","1,2398000000","0,0009614076","1,2398000000","0,8157786567","1,2463000000","1,2333000000","1,2332999534","0,0000012798","27,66%","1,0000%"
10/1992,"522.186,94",-,"4.780.863,30","4.780.863,30",FALSE,-,"0,94557900","1,0000000000","0,0010000000","1,2607000000","0,00146209005337","1,2607000000","0,0007754538","1,2607000000","0,6579921412","1,2524000000","1,2548000000","1,2547993877","0,0000010377","28,18%","1,0000%"
